 host           organization                          location
 kit0           Korea Institute of Technology         Korea
 kitenet        Kite-Net LTD.                         Kirtland Ann Arbor
 kits1          Korea Institute of Technology         Korea
 kits2          Korea Institute of Technology         Korea
 kits3          Korea Institute of Technology         Korea
 kits4          Korea Institute of Technology         Korea
 kits5          Korea Institute of Technology         Korea
 kits6          Korea Institute of Technology         Korea
 kits7          Korea Institute of Technology         Korea
 kitsune        Cheeks and Jai's Computer Emporium    Albuquerque, NM
 kitty          Recognition Research Corp.            East Amherst, NY
 kivax          Digital Kienzle GmbH                  Germany
 kjc386         What me, organized?                   Framingham, MA
 kk6yb          Amateur Radio Station KK6YB           Escondido, CA
 kksys          K and K Systems                       Plymouth, MN
 klamath        The Software Arts                     Ohio
 klg            KL Group Inc.                         Canada
 klgai          Ginter & Associates, Inc.             Beltsville, MD
 klic           Keith Lofstrom Integrated Circuits    Beaverton, Oregon
 kmart          K Mart                                Troy, Michigan
 kmjhome        Online Systems                        Lawton, Oklahoma
 kmpc           Ken Mandelberg's Home System          Decatur, Georgia
 kneller        There ain't no organization here.     Canada
 knights        Knight's Technology Inc.              Santa Clara, CA
 knightsb       Knights Technology                    Boston, MA
 knl-ky         Kirk NationalEase, Inc.               Sidney Ohio
 knopfle        Sigma Designs                         Fremont, CA
 know           Bull Worldwide Information Systems,   Billerica, MA
 knuth          Middle TN State Univ, Dept of Comput  US MAIL
 koala          Sigma Design, Inc.                    Englewood, CO
 kodak          Eastman Kodak Company                 Rochester, NY
 kofax          Kofax Image Products                  Irvine, California
 kohala         Kohala Software                       Tucson, Arizona
 kolob          ICON International, Inc.              Orem, Utah
 kolonel        Kolonel Systems                       Arden Hills, MN
 kolvi          Helsinki University of Technology,    Finland
 kolvir         Friends Of The Don-Buddah             Seattle, WA
 kommu          Siemens AG, AUT 965A                  Germany
 komsys         Institut fuer Informatik, ETH Zueric  Switzerland
 kona           Dave Bernsen/Jartel                   San Diego, CA
 konech         KONTRON Elektronik GmbH, Abt. EE      Germany
 kong           NCR Advanced Product Development      Atlanta, Georgia
 konkord        Concord Communications, Inc.          Marlboro, MA
 konkuk         Konkuk University                     Korea
 koosh          OMNI Solutions                        Los Altos, CA
 kopachuk       Tacoma Screw Products, Inc.           Tacoma, Washington
 korgrd         KORG Research and Development         Milpitas, CA
 kornfl         Kellog Salada Ontario                 London ONT CANADA
 kortcs         KORT Computer Systems                 Seymour, Tennessee
 kosman         Vital Software Services, Channel Isl  Channel Islands CA
 kpc            Kubota Pacific Computer Inc           Santa Clara, CA
 kpy            KPY Corporation                       Sunnyvale, CA
 krafla         University of Iceland, Computing Cen  Iceland
 kralc          Clark College                         Vancouver, WA
 krames         Krames Communications                 Daly City, CA
 kran           Purdue University, Krannert Graduate  W Lafayette, IN
 krcc           Ken Roberts Computer Consultants Inc  Canada
 krfiny         Knight-Ridder Financial Information   New York, New York
 krikor         St. John's Armenian Church            Southfield, MI
 krm            Infoserve Computer Services Inc.      DeSoto, Texas
 kroll          Kroll family residence                San Francisco, CA
 kroy           Kroy, Inc.                            Scottsdale, AZ
 kroywest       Kroy, Inc.                            Newport Beach, CA
 krpan          Faculty of Electrotechnical Engineer  Yugoslavia
 ks25           R. R. Donnelley & Sons Company        Lisle, Illinois
 ksala          SanSoft Inc.                          Torrance, CA
 kscorp         KineticSystems Corp.                  Lockport, Illinois
 ksgbbs         Kennedy School of Government/Harvard  Cambridge, MA
 ksi            Home Machine                          Londonderry, NH
 ksmith         Individual                            Hope Mills, NC
 ksr            Kendall Square Research Corporation   Waltham, MA
 ksuage         Kansas State University Dept. of Agr  Manhattan, Kansas
 ksuvax1        Kansas State University Dept. of Com  Manhattan, Kansas
 kta            Korea Telecommunication Authority     Korea
 ktarc          Korea Telecommunication Authority     Korea
 kudsoft        Kudsoft                               Toluca Lake, CA
 kuecc          Korea University                      Korea
 kulcs          Katholieke Universiteit Leuven, Depa  Belgium
 kulesat        Katholieke Universiteit Leuven, Depa  Belgium
 kulesza        Janusz Kulesza                        Germany
 kulet          KUL-Eurotra                           Belgium
 kulqc1         Katholieke Universiteit Leuven, Quan  Heverlee
 kumr           Late Night Software                   San Francisco, CA
 kumu           Office for Faculty Development and    Honolulu, Hawaii
 kunikpok       Kunikpok Kennels & Komputers          Austin, Texas
 kunivv1        University of Nijmegen, Faculty of    Netherlands
 kurz-ai        Kurzweil Applied Intelligence         Mass
 kwiatl         KnowledgeWare Inc.                    Atlanta, Georgia
 kyoto          Kyoto Research, Inc.                  New Brunswick, NJ
 kyzyl          Somewhere in Royal Oak                Michigan
 kzin           Kzinti Embassy, McLean Virginia       McLean Virginia
 l5comp         L5 Computing                          Edmonds, WA
 la4gen         Collins Computer Support              Torrance, CA
 laas           CNRS, Laboratoire d'Automatique et    France
 lab-frog       Vicorp Interactive Systems            Boston, MA
 labtech        Laboratory Technologies               Wilmington, MA
 lacy           Star Technologies, Inc.               Lake Forest, CA
 lad-shrike     Lockheed Missles & Space Co., Austin  Texas
 ladcgw         Bull HN Information Systems Inc.      Los Angeles, CA
 ladwp          Los Angeles Dept. of Water and Power  Los Angeles, CA
 lady           Writers/Editors Techinical/Fiction    Berkeley, CA
 lafayet        Western Atlas International - CORE    Lafayette, LA
 laffu          Louisville Area Forum For Unix        Louisville, KY
 laguna         TA Systems                            Laguna Niguel, CA
 lahcx          Harris Computer Systems, Torrance,    Torrance, CA
 lahey          Lahey Computer Systems, Inc.          Incline Village NV
 laic           Lockheed Artificial Intelligence Cen  Menlo Park, CA
 laidbak        INTERACTIVE Systems Corporation Nape  Naperville, IL
 lakart         Lakart Corporation, Newton            Newton, MA
 lake           Lake Systems                          Wisconsin
 lakeoz         Adams Software                        Oregon
 lakesys        Lake Systems                          Wisconsin
 lambda         Lambda Telecommunications             San Diego, CA
 lambton        Lambton College of Applied Arts and   CAN
 lamc           Letterman Army Medical Center - Dept  Presidio of San Fr
 lamis          Lamis Computer System                 Canada
 lamkt          Motorola, Inc., Computer Group, Comm  Newport Beach, CA
 lamont         Lamont-Doherty Geological Observator  Palisades N Y
 lan000         Lantech Systems, Inc. / US Data Inc.  Richardson, Texas
 lanai          Eyring Research Institute, Inc.       Utah
 lanatl         Harris Corporation, Lanier Business   Tucker, Georgia
 lancc          Louisville Area Network Communicatio  Louisville, KY
 lancer         UCLA School of Engineering and Appli  West Covina, CA
 lancom         Lancom Technologies                   Grass Valley, CA
 landis         Boundary Software                     Union Lake, MI
 landooz        landooz                               Livermore, CA
 landru         Saiph Systems                         Rockaway, NJ
 lanewoo        Norvac Electronics, Inc.              Oregon
 lanl           Los Alamos National Laboratory        Los Alamos, NM
 lansys         LAN Netzwerksysteme Vertriebs Gmbh    Austria
 lantron        Lantron Design, Inc.                  San Jose, CA
 laputa         Laputa                                Topanga, CA
 larch          Weyerhaeuser Corp.                    Tacoma, Washington
 laredo         VLSI Technology Inc.                  Richardson, Texas
 lareth         Michael P. Capron                     Penfield, New York
 larkint        Sun Microsystems, Portland Oregon     Aloha, Oregon
 larouch        Ritzbo International Fan Club         Newburgh, New York
 lasa           LASA Industries, Inc.                 San Jose, CA
 lascar         Individual                            New York, New York
 laserlab       LaserLab Inc                          San Diego, CA
 lasso          CNRS, Laboratoire d'Automatique et    France
 lassp          Cornell University, Lab of Atomic an  Ithaca, New York
 latimes        Los Angeles Times                     Los ANgeles, CA
 latour         Sandelman Software Works              Ottawa, Ontario
 latyr          Laboratorio de Tritio y Radiocarbono  La Plata Prov Bs A
 lauder         Individual                            Ft Lauderdale, FL
 laurana        Shuss Systems Inc.                    Edison, New Jersey
 laurel         Broward Community College             Davie, Florida
 lauto          Logic Modeling Corporation            Beaverton, Oregon
 lauzon         Lauzon Ent.                           Canada
 lavi           Institut fuer Informatik, ETH Zueric  Switzerland
 lbc            Lady Bug Computing                    Fremont, CA
 lcc            Locus Computing Corporation           Inglewood, CA
 lccinc         LCC, Inc.                             Washington, DC
 lccorp         Liquid Controls Corp.                 Wacker Park North
 lci386         Life-Cells, Inc.                      San Jose, CA
 lclark         Lewis & Clark College                 Portland, Oregon
 lcra           Lower Colorado River Authority        Austin, Texas
 ldc            Sheridan College                      Canada
 leadsv         Lockheed Missiles & Space Co.         Sunnyvale, CA
 leafusa        Interleaf, Inc.                       Waltham, MA
 leagle         The Eaton Law Firm                    North Dakota
 leah           The University at Albany, Computer    Albany, New York
 leahi          Data I/O Coropration                  N E Redmond, WA
 leap           Leap Technology, Inc.                 Burlington, MA
 leaseme        Leasemetric Inc.                      Foster City, CA
 lecgwy         Lockheed Electronic Company, Inc.     Plainfield, NJ
 lechat         Thomas Ventures                       San Francisco, CA
 lechsg         Lockheed Electronic Company, Inc.     Plainfield, NJ
 lecmentor      Lockheed Electronic Company, Inc.     Plainfield, NJ
 lectra         Lectra Syste`mes                      France
 lectura        University of Arizona, Dept. of Comp  Tucson, Arizona
 lecvae         Lockheed Electronic Company, Inc.     Plainfield, NJ
 legal          Censtor Corp.                         Santa Clara, CA
 legato         Legato Systems, Inc.                  Palo Alto, CA
 legends        Buccaneer Bay Marble Club Ltd.        Newark, California
 legolas        PC Lan Canada                         Canada
 legs           AST Research, Inc.                    Irvine, California
 lehi3b15       Lehigh University, Computer Science   Bethlehem, PA
 leids          Barrister Int. Inc.                   Fargo, ND
 lemis          LEMIS Lehey Mikrocomputer Systeme     Germany
 lemuria        Shecora Assocates Inc                 Brookline, NH
 leo            Computer Consoles Inc., CPD, Advance  Irvine, California
 leong          Leong Jacobs Inc.                     Annapolis, MD
 les386         Individual                            Winchester, MA
 lethe          Systems Software                      Canada
 letni          LawNet                                Sarazen Mesquite T
 leucadia       Anderson Software Group, Inc.         Leucadia, CA
 leuze          Leuze Elektronik GmbH, Abt. TDV       Germany
 level1         Level One Communications              Folsom, California
 lever          Lever Industries                      San Francisco, CA
 levy1          The Levy Organization                 Chicago, Illinois
 lexicon        Lexicon, Inc.                         Waltham, MA
 leydev         Software-Ley GmbH                     Germany
 lezvax         Akademie der Wissenschaften, Lokales  Wien
 lfs            Leonard F. Schmirl, Jr.               Central Islip, NY
 lgc            Landmark Graphics                     Houston, Texas
 lgm            LGM Consulting, Inc.                  Milpitas, CA
 lgnp1          Lagniappe Systems                     Norristown, PA
 lgp            Landis & Gyr Powers, Inc.             Buffalo Grove, IL
 lhdsy1         Chevron Information Technology Co     La Habra, CA
 lhmlp          Museo de la Plata - CONICET.          Argentina
 lhs-usa        Lernout & Hauspie Speech Products     Woburn, MA
 liasi          Litton - Integrated Automation        Alameda, CA
 lib            The Texas Medical Center              Texas
 libcmp         Liberty Computers, Inc.               US Mail
 liberty        Sun Microsystems Inc, King of Prussi  King of Prussia PA
 libgrp         Rational Technologies, Inc.           Thousand Oaks, CA
 libove         Kitty & Panther, Inc.                 Ann Arbor, MI
 libra          Internatiol Microelectronic Products  San Jose, CA
 librainc       Librascope Corporation                Glendale, CA
 library        Harris Corporation, Lanier Business   Atlanta, Georgia
 libros         Andante Systems                       Berkeley Avenue
 liepert        Individual                            Somerville, MA
 lifia          Laboratoire d'Informatique Fondament  France
 lifl           Universite de Lille Flandres Artois   France
 light          Light Systems                         Mountain View, CA
 lightstn       The Lightstone Group                  Mineola, New York
 likewise       AT&T Bell Labs                        Murray Hill, NJ
 lilac          Korea Advanced Institute of Science   Republic of Korea
 lilink         Lilink Communications                 Valley Stream N Y
 lily           Unisys Corporation                    Eagan, Minnesota
 limat          Limat Graphics                        Danbury, CT
 limbic         Southwest Systems Development Labs    Houston, Texas
 limbo          Intuitive Systems                     Mountain View, CA
 limerick       Stupid Puns Inc.                      Illinois
 limsi          CNRS, Laboratoire LIMSI               France
 linac          Fermi National Accelerator Laborator  Batavia, Illinois
 linknet        Privite system                        Melbourne, Florida
 linkus         Linkus Systems                        San Diego, CA
 linod          Linotype AG                           Germany
 linqdev        INTERLINQ Software Corporation        Kirkland, WA
 lintech        Lintech                               Centreville, VA
 linus          The MITRE Corporation                 Bedford, MA
 lipkis         First Serve                           Palo Alto, CA
 liplus         LI Business Solutions Inc.            Alberta
 lircorp1       LIR Corporation                       San Jose, CA
 lis            Laboratorio de Investigaciones Senso  piso Cap Fed
 lisa           Dirk Koeppen, EDV-Beratung            Germany
 liscon         Laboratorio de Investigaciones senso  piso Cap Fed
 lisd           Province of Alberta, Forestry Lands   Canada
 liskamm        Institut fuer Integrierte Systeme,    Switzerland
 lissie         Objective Technologies, Inc.          New York, New York
 litgld         Liticom Limited                       San Francisco, CA
 lithos         Golder & Associates                   Redmond, WA
 litp           CNRS, Laboratoire d'Informatique The  France
 littlei        Intel Corp., IMSO UNIX Software, Hil  Oregon
 liuida         University of Linkoping, Dept of Com  Sweden
 lizard         InfoPro Systems                       Rescue, California
 lkba           LKB Associates, Inc.                  Maryland
 ll-xn          MIT Lincoln Laboratory                Lexington, MA
 llama          Crittenden Engineering                Austin, Texas
 lll-crg        Lawrence Livermore National Laborato  Livermore, CA
 lll-tis        Lawrence Livermore National Laborato  Pleasanton, CA
 lll-winken     Lawrence Livermore National Labs      Livermore, CA
 lln-cs         Universite Catholique de Louvain      Belgium
 llnc           LinkNet, Inc.                         New York, New York
 lloyd          Camex, Incorporated                   Boston, MA
 llustig        Greenwire Consulting                  Palo Alto, CA
 lmrc           Liberty Mutual Research Center        Hopkinton, MA
 lms            Laser Magnetic Storage                Colorado Springs C
 lmt            LaserMaster Technologies, Minneapoli  Eden Prarie, MN
 lnfgi1         Leeds & Northrup                      North Wales, PA
 lnknet1        The EFT Company                       South Africa
 lnzx99         VOEST ALPINE Industrieanlagenbau Gmb  Austria
 localk         Local Knowledge                       Durham, NH
 loci           Loci Products                         Richardson, Texas
 lock1          Lockheed Electronics Company, Inc.    Plainfield, NJ
 lock60         Schuylkill Canal Association          Mont Clare, PA
 lodestar       Lodestar Systems Inc.                 Dallas, Texas
 lodstar        Fulcrum Innovations                   San Mateo, CA
 loft386        Lofty Pursuits                        Rapid City, SD
 log-hb         TeleLOGIC AB                          Sweden
 logibec        Logibec Groupe Informatique Ltee      CANADA
 logician       logician                              San Francisco, CA
 logico         Logicon, Operating Systems Division   Marina del Rey, CA
 logitec        Logitech Inc.                         Fremont, CA
 logixwi        Logix GmbH                            Germany
 logos          Universidad Nacional de Cuyo, Servic  ARGENTINA
 logsys         Logical Systems                       Philadelphia, PA
 logsysv        Logical Systems                       Philadelphia, PA
 loki           Becton Dickinson                      San Jose, CA
 lokkur         Inland Sea                            Hidden Lake Circle
 lolita         Northfield Trading L.P.               Lakewood, Colorado
 loneoak        Lone Oak Technology                   Milwaukie, Oregon
 lonesome       Lonesome Dove Computing Services      Austin, Texas
 long           Long Manufacturing Ltd.               Ontario
 longbow        US Army Corps of Engineers, Sacramen  Sacramento, CA
 longway        Texas Internet Consulting             Austin, Texas
 looking        Looking Glass Software Limited        Canada
 loon           Loon Systems                          California
 loony          Sprint International                  Reston, Virginia
 loop           Keith Lofstrom Integrated Circuits    Beaverton, Oregon
 lopez          Great White North UPLink              Marquette, MI
 loral          Loral Instrumentation                 San Diego, CA
 loralfs        Loral Fairchild Systems               Syosset, New York
 lorc           LORC Enterprises                      Rosman, NC
 los            O'Reilly Associates                   Gilford, CT
 lotus          Lotus Development                     Cambridge, MA
 lou2           Individual                            Morristown, NJ
 louise         Dep't of Chem. Eng., Univ. of Notre   Indiana
 lownlab        Lown Cardiovascular Laboratory, Harv  Boston, MA
 loyalist       Community College Technology Departm  Canada
 loyola         Comstock Connections                  Austin, Texas
 lpa            LPA Software, Inc.                    Fairport, New York
 lpb            National Institutes of Health         Bethesda, MD
 lpi            Liant Software Corporation            Framingham, MA
 lpoint         Laserpoint Software Systems Inc.      Ludlow, MA
 lrark          Little Rock Tech Users Group          Little Rock, AR
 lrc            Lenoir-Rhyne College                  Hickory, NC
 lri            CNRS, Laboratoire de Recherche en In  France
 lrt            LeBlanc and Royle Telecom Inc.        Ontario Canada
 lrw            LRW Systems                           Stamford, CT
 lscpdx         Lattice Semiconductor, Hillsboro Ore  Hillsboro Oregon
 lscsjc         Lattice Semiconductor, San Jose       San Jose, CA
 lsdxxv         Merry Pranksters International        Kings Park, NY
 lsg            The LAN Support Group, Inc.           Houston, Texas
 lsi-la         Language Systems, Inc.                Woodland Hills, CA
 lsican         LSI Logic Corporation of Canada, Inc  Etobicoke, Ontario
 lsilwm         LSI Logic Corporation                 Waltham, MA
 lsimages       L.S.images                            Canada
 lsmi           Life Sciences Manufacturing, Inc.     West Lebanon, NH
 lsr-vax        National Institutes of Health         Bethesda, MD
 lsrhs          Lincoln-Sudbury Regional High School  Sudbury, MA
 lstc           Lockheed Software Technology Center   Austin, Texas
 lsuc           The Law Society of Upper Canada       Canada
 lsueye         L.S.U. Eye Center                     New Orleans, LA
 lsumaxx        Louisiana State Univ Medical Center   Shreveport, LA
 lsw            LSW, Inc.                             Landover, MD
 ltec           Lincoln Telephone Company             Lincoln, Nebraska
 ltec1          Lincoln Telephone Company             Lincoln, Nebraska
 ltg            SwitchView - The Linton Technology    Canada
 lti            Language Technology, Inc.             Salem, MA
 ltrnativ       The All Ter Nah Tiv Unh Der Groend    removed on persona
 lts            Learning Tree Software                Reston, Virginia
 ltx            LTX Corporation                       Westwood, MA
 lubriz         Lubrizol Corp.                        Wickliffe, Ohio
 luccpud        Loyola University of Chicago          Chicago
 ludwig         Friends of the Athabasca              Canada
 luke           Larson Davis                          Provo, Utah
 lunapark       Lunapark Systems                      E Lansing, MI
 lunar          Larry Fenske (individual)             Loveland, Colorado
 lunatic        Truckee Meadows Community College,    Reno, Nevada
 lunatix        Lexington Public Access Unix          Lexington, KY
 lunix          Lexington Public Access Unix          Lexington, KY
 lupine         Network Computing Devices             Mountain View, CA
 lurker         Greg Moulton, Consulting              Irvine, California
 lwerk          Logikwerk Enrg.                       CANADA
 lwi            Laser Works, Inc.                     Mountain View, CA
 lxn            Applied Communications Inc.           Chicago, Illinois
 lyco           Lycoming College                      Williamsport, PA
 lycohp         Lycoming College                      Williamsport, PA
 lynch          LPC Inc.                              Point Pleasant Bea
 lynx           Lynx Real-Time Systems Inc.           Los Gatos, CA
 lynx13         InfoWare (Pty) Ltd.                   South Africa
 lynxds         Lynx Data Systems                     Eagan, Minnesota
 lynxinc        Lynx, Inc.                            Waltham, MA
 lynxwwt        LYNX Software                         Radnor, PA
 lyon           Lyon Mercantile Group, Ltd.           San Diego, CA
 lyra           Planet Earth                          Oakland, CA
 lyre           Equitable Life                        New York, New York
 m-cmc          Central Methodist College             Fayette, Missouri
 m-net          M-Net Public Access Conferencing      Ann Arbor, MI
 m10            Lorentzian Inc.                       North Haven
 m2-net         Public Access Unix                    Ann Arbor, MI
 m2c            Massachusettes Microelectronics Cent  Westboro, MA
 m2xenix        Pacific Systems Group                 Oregon
 maat           Maat, Inc. c/o Larsen &Co.            San Ramon, CA
 mabjab         Shuss Systems, Inc.                   Oakland, NJ
 mabsys         MAB Systems Inc.                      New York, New York
 mac            Parks College                         Cahokia, Illinois
 mac2x-2        Engineering Information Systems, Inc  Saratoga, CA
 macbeth        Princeton University, Civil Engineer  Princeton, NJ
 machmfg        Sonoco Products Co.                   Hartsville, SC
 macknife       Krantz & Ware Consultants             Peoria, Illinois
 macom1         Centel Federal Systems, Inc.          Reston, Virginia
 macomh         Centel Federal Systems, Inc.          Reston, Virginia
 macomw         M/A-COM Telecommunication Div. Linka  San Diego, CA
 macorp         Motion Analysis Corp.                 Santa Rosa, CA
 macrae         Robin Macrae Lawyers                  Canada
 macs           Stetson University Math & CS Departm  DeLand, Florida
 macsoft        MacSoft                               Bakersfield, CA
 mad            MAD Intelligent Systems               San Jose, CA
 madc           MAD Intelligent Systems, Cambridge    Cambridge, MA
 madera         Madera Systems                        Los Angeles, CA
 madhat         DataVision                            Huntsville, AL
 madmacs        Joe Matter's System                   Sunnyvale, CA
 madnix         ARP Software                          Madison, Wisconsin
 madnixbbs      ARP Software                          Madison, Wisconsin
 madras         Maryland Apple Dumpling Radio Amateu  Bethesda, MD
 madvax         Varian Instruments                    California
 maggadu        AIDS Information Development System   San Francisco, CA
 magic          Evergreen Technology Group            Palo Alto, CA
 magic4         AT&T, Portland, Or.                   Portland, Oregon
 magicgate      Evergreen Technology Group            Palo Alto, CA
 magicnw        Evergreen Technology Corp.            San Jose, CA
 magna          Magna Software Corp.                  New York, New York
 magnet         Management Assistance Group           Ohio
 magnolia       EUnet Switzerland                     Wettingen
 magnus         The Hotline                           California
 magnusson      Salt Lake City NeXT Users Group       Salt Lake City, UT
 magsta         Magstar Incorporated, Toronto         Canada
 magus          Boss Logic Inc.                       Hillsborough, CA
 mahard         Mahard Egg Farms,Inc                  Inc
 mahendo        Jet Propulsion Laboratory, Advanced   Pasadena, CA
 mailrus        Computing Center, The University of   Ann Arbor, MI
 maitwr         Mathis and Associates                 Warwick, RI
 major          A T Engineering                       Tampa, Florida
 mak            Amnet, Inc.                           Framingham, MA
 makalu         Seer Technologies, Inc.               New York, New York
 mala           Malaspina College                     Nanaimo BC CANADA
 mama           The Soup Kitchen                      Virginia
 mamia          AFCEA Educational Foundation          Miami, Florida
 mamy           Kwangwoon University                  Republic of Korea
 man            Systems'n'Software                    Fremont, CA
 manapua        PUBNET Communications Services        Honolulu, Hawaii
 mancol         Manhattan College                     Riverdale, NY
 mandata        Mandata                               Gaithersburg, MD
 mandr1         M&R Services, Inc.                    Chicago, Illinois
 mandt          Interactive Ventures                  Lone Oak Parkway E
 mangen         ManGen Software Incorporated          Louisville, KY
 manhat         Manhattan College                     Riverdale, NY
 mani           Korea Advanced Institute of Science   Republic of Korea
 manthas        Mantha Software                       Sunnyvale, CA
 mantissa       Mantissa Corporation                  Birmingham, AL
 manutius       Aldus Corp.                           Seattle, WA
 maow           Maow Maow Uprising Cat Ranch And Equ  Los Gatos, CA
 marae          Marae Groupware, Inc.                 Ann Arbor, MI
 marble         Marble Technics, Inc.                 New York, New York
 marcal         Marcal Systems Corporation            Cary, Illinois
 marcamd        Applied Maths Division, Dept of Scie  New Zealand
 marcel         Art Metropole                         Canada
 marcie         SPARTA, Inc, Huntsville               Hunstville, AL
 marco          Marco Systemanalyse & Entwicklungs-   W Germany
 marconi        Institute for Theoretical Physics,    SUNY at Stony Broo
 mardi          Independent Consultant                Fairfax, Virginia
 marge          Ski Burrito Headquarters              Oaks, California
 marie          St. Mary's Academy                    th Portland Oregon
 marilyn        Litfal                                St Louis Park, MN
 markets        American Information Exchange Corpor  Palo Alto, CA
 marley         Starving Artists                      Reno, Nevada
 marlton        Packard Press                         Marlton, NJ
 marob          Eighteenth Street Construction Compa  New York, New York
 marque         Marquette University                  Wisconsin
 mars           New Jersey Institute of Technology,   Newark, New Jersey
 marsal1        Boeing Canada, de Havilland Division  Canada
 marsmcro       Mars Microsystems, Inc.               Mars, Pennsylvania
 marst2         Defense Automated Addressing System   DAASO Defense Depo
 marsys         Marshall Systems                      Los Angeles, CA
 martech        STEP Inc.                             Canada
 mas            Emtronix Data Systems                 Baltimore, MD
 mas1           Measurex Automation Systems           Cupertino, CA
 maspar         MasPar Distributor AG                 Switzerland
 mass1          US Army Construction Engineering Res  Champaign, IL
 masschgo       Masscomp                              Ill
 masscomp       Concurrent Computer Corporation       Westford, MA
 masstech       MassTech, Inc                         Huntsville, AL
 master         Ariel Corporation                     Highland Park, NJ
 mate           University of Buenos Aires, FCEyN,    Bs As Argentina
 materna        Dr. Materna GmbH                      Germany
 mathworks      The MathWorks Inc.                    Cupertino, CA
 matlab         The MathWorks, Inc.                   South Natick, MA
 mator          Tecumseh Educational Foundation       Canada
 matrix         Matrix Computer Systems               Nashua, NH
 matrox         Matrox Electronic Systems Ltd.        Canada
 matrx          Matrix Corporation                    Raleigh, NC
 mattrx         MattRx - Automation Solutions - MD    Stony Brook, NY
 matul          MicroAge Computer Store, Tulsa OK     Tulsa, Oklahoma
 maui           SCS Informationstechnik GmbH, Abt.    Germany
 mautne         Investigador                          Cap Fed
 maven          Home System                           Eden Prairie, MN
 mavrick        AmTech Computers                      Austin, Texas
 mavrik         Triad Systems Corporation             Livermore, CA
 max            Unix Integration Services             Urbandale, Iowa
 maxaw          Applied Theory Associates, Durham,    Durham, NC
 maxcomp        Maxcomp Computers, Inc.               Fairport, New York
 maxed          American Micro Group                  Fort Lee, NJ
 maxemail       SESI Software Inc.                    Dunn Loring, VA
 maxhead        Tandy Radio/Shack Service             Coopercity, FL
 maxie          Willingboro Police Department         Willingboro, NJ
 maximal        Maximal Software Inc.                 Arlington, VA
 maximus        MAXIM Technologies, Inc.              Vienna, Virginia
 maxpeed        Maxpeed Corporation                   Foster City, CA
 maxtech        Maxtech, Inc.                         Marietta, Georgia
 maxterm        Micronics                             Fremont, CA
 maxwell        Southwest Research Institute          Texas
 maxx           Tom Yager's UNIX Lab                  Amherst, NH
 maynhbd        Maynard Electronics Inc.              Lake Mary, Florida
 mbf            MAI Systems Corporation               Tustin, California
 mbg3b2         Medical Billing Group                 Roseville, CA
 mbir           Molecular Biology Information Resour  Houston, Texas
 mbitow         Mold Base Industries, Inc.            Harrisburg, PA
 mbph           Department of Biophysics, Univ. of    Baltimore, MD
 mbs            MBS Associates, Inc.                  McLean, Virginia
 mbsun          Mico                                  Oak Drive
 mbyte          MetraByte Corporation                 Taunton, MA
 mc500          Southwest Research Institute          Texas
 mca            McDowall Computer Associates, Ltd.    Coon Rapids, MN
 mcad01         MCAD, Inc.                            Culver City, CA
 mcad02         MCAD, Inc.                            Beverly Hills, CA
 mcardle        Design And Data Analysis              Charlottesville VA
 mcb            Message Center Beepers                Hartford, CT
 mcbones        Daniel J McCoy                        Van Nuys, CA
 mccabe         McCabe and Associates                 Columbia, MD
 mccall         The McCall Pattern Company            Manhattan, Kansas
 mccc           Mercer County Community College       Trenton, NJ
 mccs           MCCS Enterprises                      Suite
 mcdbos         Motorola, Microcomputer Division      Woburn, MA
 mcdchg         Motorola, Microcomputer Division      Schaumburg, IL
 mcdcoh         Motorola Microcomputer Division Inc.  Worthington Ohio
 mcdcup         Motorola Computer Group, Technical    Cupertino, CA
 mcdham         Motorola, Semiconductor Products Sec  Wallingford, CT
 mcdhup         Motorola, Technical Systems Division  Hauppauge, NY
 mcdhup1        Motorola, Microcomputer Division      Hauppauge, NY
 mcdphx         Motorola Microcomputer Division       Tempe, Arizona
 mcdre1         Memory Components Quality & Reliabil  Folsom, California
 mcdre3         Memory Components Quality & Reliabil  Folsom, California
 mcdrv1         Motorola, Microcomputer Division      Hackensack, NJ
 mcdsun         Motorola Microcomputer Division       Arizona
 mcdurb         Motorola Microcomputer Division, Urb  Urbana, Illinois
 mcesd          Smart Rooms!, San Diego               San Diego, CA
 mcf            Michigan Cancer Foundation            Detroit, Michigan
 mcgill-vision  McGill University, McRCIM             Canada
 mcgp1          McCaw Cellular Communications, Inc.   Kirkland, WA
 mcgrp          Microcomputer Consultant Group        New Orleans, LA
 mcinc          McIntyre Consulting                   Concord, MA
 mck-csc        McKinsey and Company, Cambridge Syst  Cambridge, MA
 mcl            Millions Computing Ltd.               Regina, SK
 mcl-sys        MCL Systems Limited                   McLean, Virginia
 mcmac          McClary Associates                    Ann Arbor, MI
 mcmi           Medical Computer Management Inc.      Omaha, Nebraska
 mcnc           MCNC Center for Microelectronics      Research Triangle
 mcnnet         MCN Computer Service INC              Dearborn, Michigan
 mcomp          Micro-Comp Consulting                 Carrollton, Texas
 mcorp          MMS International                     Ohio
 mcosm          Microcosm, Inc.                       Torrance, CA
 mcow1          Medical College of Wisconsin          Milwaukee, WI
 mcquaig        Micro Support Systems                 Shreveport, LA
 mcrware        Microware Systems Corporation         Iowa
 mcs1           Macro Computer Solutions, Inc.        Mundelein, IL
 mcs3b2         Drexel University, Department of Mat  Philadelphia, PA
 mcsdc          Motorola, Inc., Computer Group, Comm  McLean, Virginia
